@서울특별시
강남구 - 압구정동, 청담동, 삼성동
강북구 - 미아동, 수유동, 송중동
관악구 - 신림동, 남현동, 봉천동
종로구 - 청운동, 사직동, 삼청동
@부산광역시
해운대구 - 좌동, 중동, 우동
서구 - 동대신동, 서대신동, 아미동
수영구 - 광안동, 남천동, 수영동
남구 - 대연동, 문현동, 용호동
@대구광역시
달서구 - 상인동, 도원동, 용산동
수성구 - 범어동, 만촌동, 수성동
중구 - 남산동, 대신동, 동인동
동구 - 방촌동, 신암동, 효목동
@인천광역시
미추홀구 - 주안동, 학익동, 용현동
서구 - 가정동, 청라동, 검암동
연수구 - 송도동, 동춘동, 연수동
부평구 - 부평동, 산곡동, 십정동
@광주광역시
북구 - 문흥동, 용봉동, 일곡동
남구 - 봉선동, 주월동, 진월동
서구 - 치평동, 화정동, 농성동
동구 - 학동, 산수동, 충장동
@대전광역시
서구 - 둔산동, 갈마동, 월평동
유성구 - 봉명동, 구암동, 지족동
중구 - 대흥동, 문화동, 은행동
동구 - 용운동, 성남동, 자양동
@울산광역시
남구 - 달동, 삼산동, 신정동
중구 - 학성동, 우정동, 성남동
동구 - 방어동, 화정동, 전하동
북구 - 진장동, 명촌동, 호계동
@경기도
수원시 팔달구 - 인계동, 매산동, 우만동
성남시 분당구 - 서현동, 이매동, 야탑동
고양시 일산동구 - 마두동, 백석동, 중산동
용인시 기흥구 - 신갈동, 영덕동, 구갈동
@강원도
춘천시 - 퇴계동, 후평동, 근화동
강릉시 - 교동, 포남동, 입암동
원주시 - 무실동, 명륜동, 단구동
@충청북도
청주시 청원구 - 내덕동, 우암동, 사천동
충주시 - 연수동, 용산동, 문화동
제천시 - 신백동, 용두동, 화산동
@충청남도
천안시 서북구 - 성정동, 백석동, 쌍용동
아산시 - 온양동, 배방읍, 도고면
공주시 - 금학동, 웅진동, 신관동
@전라북도
전주시 완산구 - 서신동, 효자동, 중화산동
군산시 - 나운동, 미룡동, 경암동
익산시 - 영등동, 모현동, 동산동
@전라남도
목포시 - 옥암동, 용당동, 상동
여수시 - 학동, 여서동, 미평동
순천시 - 왕지동, 연향동, 조례동
@경상북도
포항시 북구 - 득량동, 장성동, 환호동
구미시 - 인동동, 진평동, 옥계동
경주시 - 황성동, 동천동, 용강동
@경상남도
창원시 성산구 - 상남동, 사파동, 대방동
김해시 - 장유동, 내외동, 삼계동
진주시 - 평거동, 하대동, 상봉동
@제주특별자치도
제주시 - 이도동, 연동, 노형동
서귀포시 - 동홍동, 대정읍, 중문동
